,0
0,1.8
1,3.18
2,3.12
3,3.73
4,3.96
5,4.67
6,5.52
7,5.52
8,5.82
9,6.02
10,6.35
11,6.96
12,7.19
13,7.35
14,7.66
15,8.18
16,8.26
17,8.42
18,8.84
19,8.98
20,9.07
21,9.36
22,9.27
23,9.45
24,9.68
25,9.61
26,10.0
27,9.79
28,10.42
29,10.3
30,10.65
31,10.36
32,10.3
33,10.82
34,10.7
35,10.74
36,11.49
37,11.55
38,11.43
39,11.76
40,12.05
41,11.28
42,12.13
43,12.3
44,12.18
45,12.0
46,12.14
47,12.13
48,12.1
49,12.5
50,12.74
51,12.56
52,12.48
53,12.57
54,12.82
55,12.71
56,12.63
57,12.7
58,12.55
59,12.68
60,13.06
61,13.03
62,12.9
63,13.12
64,13.22
65,13.25
66,13.81
67,13.45
68,13.51
69,13.59
70,13.99
71,14.0
72,13.7
73,14.25
74,13.9
75,13.99
76,13.58
77,14.04
78,13.75
79,14.18
80,14.04
81,14.36
82,14.17
83,14.34
84,14.23
85,14.47
86,14.35
87,14.6
88,14.78
89,15.27
90,15.08
91,15.23
92,15.53
93,15.22
94,15.78
95,15.8
96,15.67
97,15.58
98,15.62
99,15.81
100,15.95
101,15.8
102,15.74
103,15.85
104,15.97
105,16.16
106,15.89
107,16.15
108,16.16
109,16.09
110,16.64
111,16.19
112,16.29
113,16.27
114,16.41
115,16.66
116,16.43
117,16.35
118,16.78
119,16.45
120,16.58
121,16.58
122,16.69
123,16.72
124,16.76
125,17.1
126,17.13
127,16.81
128,16.99
129,16.74
130,16.7
131,17.06
132,16.83
133,16.95
134,17.25
135,17.02
136,17.27
137,17.31
138,17.46
139,17.04
140,17.4
141,17.48
142,17.79
143,17.08
144,17.3
145,17.37
146,17.67
147,17.53
148,17.52
149,17.15
150,17.64
151,17.55
152,18.07
153,17.82
154,17.77
155,17.81
156,17.88
157,17.77
158,18.02
159,17.91
160,18.12
161,17.57
162,17.76
163,18.22
164,18.35
165,18.37
166,18.1
167,17.7
168,18.18
169,18.45
170,18.05
171,18.38
172,18.13
173,18.3
174,18.37
175,18.22
176,18.74
177,18.62
178,18.39
179,18.76
180,18.46
181,19.03
182,18.79
183,18.7
184,18.79
185,18.91
186,18.46
187,18.85
188,18.79
189,18.69
190,18.71
191,18.8
192,18.71
193,19.02
194,18.61
195,18.88
196,19.0
197,18.98
198,19.02
199,19.12
200,18.64
201,18.65
202,19.02
203,19.11
204,19.1
205,19.37
206,18.91
207,19.36
208,19.3
209,18.84
210,19.42
211,19.48
212,19.31
213,19.34
214,19.21
215,19.56
216,19.27
217,19.33
218,19.22
219,19.2
220,19.34
221,19.47
222,19.56
223,19.53
224,19.43
225,19.55
226,19.42
227,19.44
228,19.38
229,19.61
230,19.64
231,19.51
232,19.63
233,19.49
234,19.73
235,19.99
236,19.5
237,19.7
238,19.45
239,19.64
240,19.48
241,19.63
242,19.78
243,19.74
244,19.83
245,19.87
246,19.74
247,19.62
248,19.86
249,19.5
250,19.92
251,19.74
252,20.14
253,19.92
254,19.77
255,19.82
256,20.17
257,20.16
258,20.14
259,20.18
260,20.05
261,20.26
262,19.92
263,19.95
264,20.06
265,20.68
266,20.03
267,20.25
268,19.98
269,19.97
270,20.19
271,20.21
272,20.09
273,19.89
274,20.16
275,20.09
276,19.72
277,20.35
278,20.08
279,19.9
280,20.02
281,20.48
282,20.07
283,20.62
284,20.04
285,20.52
286,20.4
287,20.29
288,20.31
289,20.2
290,20.72
291,20.71
292,20.57
293,20.18
294,20.41
295,20.4
296,20.3
297,20.27
298,20.38
299,20.77
300,20.79
301,20.82
302,20.31
303,20.83
304,20.66
305,20.87
306,20.73
307,20.76
308,20.95
309,20.51
310,20.91
311,21.07
312,20.65
313,20.96
314,20.9
