,val0
0,1.22
1,1.45
2,2.31
3,2.56
4,2.58
5,2.66
6,2.79
7,2.91
8,3.33
9,3.36
10,4.11
11,4.17
12,4.16
13,4.2
14,4.21
15,4.27
16,4.61
17,4.62
18,4.89
19,5.02
20,5.1
21,5.65
22,5.63
23,5.78
24,5.63
25,5.67
26,5.87
27,5.98
28,5.71
29,6.13
30,5.96
31,5.9
32,6.24
33,6.3
34,6.4
35,6.33
36,6.2
37,6.43
38,6.48
39,6.63
40,6.73
41,6.95
42,6.81
43,6.92
44,6.99
45,7.25
46,6.91
47,7.06
48,7.35
49,7.66
50,7.53
51,7.45
52,7.49
53,7.57
54,7.82
55,7.63
56,7.7
57,7.71
58,7.85
59,7.98
60,7.82
61,7.66
62,7.83
63,7.89
64,7.98
65,7.84
66,8.05
67,8.41
68,8.35
69,8.36
70,8.56
71,8.49
72,8.79
73,8.79
74,9.07
75,9.22
76,9.08
77,9.26
78,9.26
79,9.46
80,9.71
81,10.12
82,9.9
83,10.08
84,10.44
85,10.35
86,10.62
87,10.36
88,10.41
89,10.43
90,10.48
91,10.63
92,10.67
93,10.83
94,10.72
95,10.95
96,11.02
97,10.93
98,11.14
99,10.98
100,11.32
101,11.07
102,11.18
103,11.21
104,11.27
105,11.24
106,11.34
107,11.41
108,11.34
109,11.61
110,11.48
111,11.36
112,11.69
113,12.04
114,11.79
115,11.8
116,12.07
117,11.9
118,12.09
119,12
120,12.07
121,12.04
122,12.07
123,12.44
124,12.02
125,12.34
126,11.95
127,12.03
128,12.42
129,12.28
130,12.49
131,12.49
132,12.72
133,12.54
134,12.63
135,12.42
136,12.93
137,12.59
138,13.03
139,12.5
140,12.49
141,12.91
142,12.9
143,12.93
144,13.09
145,13.04
146,13.19
147,12.93
148,12.97
149,13.23
150,13.11
151,13.5
152,13.1
153,13.44
154,13.24
155,13.24
156,13.51
157,13.71
158,13.23
159,13.14
160,13.52
161,13.41
162,13.44
163,13.53
164,13.79
165,13.92
166,13.6
167,13.67
168,13.76
169,13.76
170,13.59
171,13.84
172,13.99
173,14.33
174,14.06
175,14.21
176,14.26
177,14.16
178,14.23
179,14.63
180,14.54
181,14.45
182,14.45
183,14.5
184,14.44
185,14.84
186,14.48
187,14.9
188,14.99
189,14.7
190,14.79
191,14.68
192,15.08
193,14.94
194,14.9
195,15.25
196,15.04
197,14.6
198,15.1
199,15.14
200,15.07
201,15.19
202,15.48
203,15.2
204,15.18
205,14.82
206,15.55
207,14.87
208,15.32
209,15.16
210,14.98
211,15.64
212,15.14
213,15.36
214,15.22
215,15.4
216,15.37
217,15.02
218,15.23
219,15.39
220,15.6
221,15.6
222,15.7
223,15.88
224,15.67
225,15.59
226,15.47
227,15.5
228,15.83
229,15.58
230,15.69
231,15.5
232,15.67
233,15.32
234,15.64
235,15.81
236,15.57
237,15.59
238,15.78
239,15.95
240,15.68
241,15.83
242,15.87
243,15.69
244,15.94
245,15.67
246,15.51
247,15.84
248,16.03
249,15.85
250,15.93
251,15.91
252,16.23
253,15.86
254,15.82
255,16.32
256,16.34
257,16.09
258,16.01
259,15.78
260,15.95
261,15.81
262,16.26
263,16.2
264,16.02
265,16.37
266,16.35
267,15.83
268,15.94
269,16.05
270,16.32
271,15.93
272,16.38
273,16.09
274,16.26
275,16.21
276,16.27
277,16.58
278,16.34
279,16.29
280,16.48
281,16.39
282,16.24
283,16.4
284,16.9
285,16.34
286,16.91
287,16.12
288,16.74
289,16.82
290,16.41
291,16.52
292,16.37
293,16.5
294,16.33
295,16.82
296,16.51
297,16.88
298,16.54
299,17.02
300,16.61
301,17.02
302,16.81
303,16.95
304,16.76
305,16.33
306,16.98
307,16.91
308,17.16
309,16.74
310,16.77
311,17.05
312,16.69
313,16.8
314,16.95
315,17.01
316,16.82
317,16.86
318,17.06
319,17.49
320,16.9
321,16.8
322,16.9
323,16.8
324,16.93
325,16.81
326,16.64
327,17.1
328,16.75
329,17.12
330,16.91
331,16.63
332,17.29
333,17.7
334,17.2
335,17.28
336,17.53
337,17.16
338,17.23
339,17.41
340,17.27
341,17.05
342,17.19
343,17.23
344,17.05
345,17.28
346,17.37
347,17.51
348,17.82
349,17.52
350,17.43
351,17.53
352,17.24
353,17.45
354,17.39
355,17.88
356,16.94
357,16.93
358,17.39
359,17.81
360,17.76
361,17.77
362,17.79
363,17.22
