,loss0,loss1,acc0,acc1
0,1.747718894,1.758520793,81.71073718,79.14
1,1.649794756,1.671566317,84.52524038,82.01
2,1.62675773,1.638690655,85.68709936,84.09
3,1.618050603,1.628594126,85.49679487,84.61
4,1.609979134,1.625908537,87.28966346,84.2
5,1.608300238,1.618978974,87.71033654,83.95
6,1.591768824,1.6175928,87.75040064,85.75
7,1.592650508,1.610476616,87.62019231,85.14
8,1.589517084,1.601786968,88.53165064,85.56
9,1.582632918,1.607274334,88.62179487,86.04
10,1.581187464,1.596550973,88.40144231,85.75
11,1.577647137,1.598990899,89.42307692,85.75
12,1.566642401,1.597036342,89.23277244,86.48
13,1.569946089,1.589494682,89.11258013,86.8
14,1.570432052,1.597678565,89.14262821,86.43
15,1.570023257,1.596216411,89.8036859,87.19
16,1.559450568,1.589134048,88.76201923,86.46
17,1.568740107,1.593067453,90.05408654,86.62
18,1.559935831,1.585522748,89.70352564,87.18
19,1.55750158,1.584423592,89.60336538,87
20,1.554822313,1.581302991,89.83373397,87.2
21,1.554692768,1.586217951,90.33453526,86.6
22,1.557646268,1.579546292,90.34455128,86.74
23,1.55502743,1.582183992,88.62179487,86.97
24,1.554141685,1.585421196,90.40464744,87.09
25,1.552379442,1.578346414,90.07411859,87.97
26,1.55430187,1.576154135,90.12419872,87.15
27,1.550224552,1.576979406,90.05408654,87.47
28,1.553822954,1.579167714,89.99399038,87.94
29,1.550256462,1.573768022,90.38461538,87.15
30,1.540406334,1.572903726,90.64503205,87.48
31,1.547799722,1.575167126,90.39463141,87.79
32,1.541710895,1.57179509,90.46474359,87.42
33,1.540097758,1.567541984,90.36458333,87.98
34,1.548534025,1.569395369,90.70512821,88.3
35,1.542377371,1.578720897,90.57491987,87.9
36,1.547316242,1.569124329,90.37459936,87.78
37,1.5439168,1.564212919,90.68509615,87.6
38,1.541270774,1.56977999,90.83533654,88.17
39,1.543234721,1.568344153,90.92548077,88.25
40,1.539975811,1.564599591,90.57491987,88.31
41,1.537831128,1.571894339,90.87540064,88.32
42,1.533366423,1.575540409,91.22596154,88.1
43,1.52979149,1.566889591,90.9755609,88.59
44,1.531558083,1.565262065,90.87540064,88.01
45,1.538789926,1.564011513,91.07572115,88.27
46,1.535706581,1.560982632,91.11578526,88.71
47,1.533217803,1.563945062,90.54487179,88.56
48,1.538928006,1.559021552,90.85536859,88.36
49,1.534519873,1.565830382,91.16586538,88.49
50,1.529708207,1.559490487,91.31610577,89
51,1.524227951,1.558050409,91.41626603,88.01
52,1.524819966,1.56517644,91.16586538,88.64
53,1.530404316,1.567756559,90.85536859,88.17
54,1.532253924,1.563331846,91.07572115,88.4
55,1.53394656,1.562811477,91.15584936,88
56,1.530586628,1.55923014,91.04567308,88.74
57,1.525164872,1.562054119,90.67508013,89.21
58,1.53080615,1.560354048,91.50641026,88.61
59,1.529743328,1.559416332,91.33613782,88.87
